"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"AJ000037907","1936-01-01","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-02","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-05","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-06","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-07","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-08","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-09","39.6","47.15","439.0","FIZULY, AJ","    4",",,I",,,,,,,,
"AJ000037907","1936-01-10","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-11","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-12","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-13","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-15","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-16","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-17","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-18","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-19","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-20","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-21","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-22","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-23","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-24","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-25","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-26","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-27","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-28","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-29","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-30","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-01-31","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-01","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-02","39.6","47.15","439.0","FIZULY, AJ","   23",",,I",,,,,,,,
"AJ000037907","1936-02-03","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-04","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-05","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-06","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-07","39.6","47.15","439.0","FIZULY, AJ","    1",",,I",,,,,,,,
"AJ000037907","1936-02-08","39.6","47.15","439.0","FIZULY, AJ","    8",",,I",,,,,,,,
"AJ000037907","1936-02-09","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-10","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-11","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-12","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-13","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-14","39.6","47.15","439.0","FIZULY, AJ","   15",",,I",,,,,,,,
"AJ000037907","1936-02-15","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-16","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-17","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-18","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-19","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-20","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-21","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-22","39.6","47.15","439.0","FIZULY, AJ","   30",",,I",,,,,,,,
"AJ000037907","1936-02-23","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-24","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
"AJ000037907","1936-02-25","39.6","47.15","439.0","FIZULY, AJ","    0",",,I",,,,,,,,
