"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CO000080222","1941-03-02","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  171","H,,S"
"CO000080222","1941-03-12","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  169","H,,S"
"CO000080222","1941-03-13","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  190","H,,S"
"CO000080222","1941-03-16","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  165","H,,S"
"CO000080222","1941-03-19","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  173","H,,S"
"CO000080222","1941-03-20","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  181","H,,S"
"CO000080222","1941-03-23","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  194","H,,S"
"CO000080222","1941-03-26","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  190","H,,S"
"CO000080222","1941-03-27","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  194","H,,S"
"CO000080222","1941-03-30","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  172","H,,S"
"CO000080222","1941-04-01","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  203","H,,S"
"CO000080222","1941-04-02","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  188","H,,S"
"CO000080222","1941-04-03","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  193","H,,S"
"CO000080222","1941-04-04","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  185","H,,S"
"CO000080222","1941-04-05","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  186","H,,S"
"CO000080222","1941-04-06","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  172","H,,S"
"CO000080222","1941-04-07","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  176","H,,S"
"CO000080222","1941-04-08","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  185","H,,S"
"CO000080222","1941-04-09","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  186","H,,S"
"CO000080222","1941-04-10","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  197","H,,S"
"CO000080222","1941-04-11","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  188","H,,S"
"CO000080222","1941-04-12","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  188","H,,S"
"CO000080222","1941-04-13","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  186","H,,S"
"CO000080222","1941-04-14","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  171","H,,S"
"CO000080222","1941-04-15","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  178","H,,S"
"CO000080222","1941-04-16","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  167","H,,S"
"CO000080222","1941-04-17","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  164","H,,S"
"CO000080222","1941-04-18","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  189","H,,S"
"CO000080222","1941-04-19","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  186","H,,S"
"CO000080222","1941-04-20","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  177","H,,S"
"CO000080222","1941-04-21","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  175","H,,S"
"CO000080222","1941-04-22","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  172","H,,S"
"CO000080222","1941-04-25","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  181","H,,S"
"CO000080222","1941-04-26","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  175","H,,S"
"CO000080222","1941-04-27","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  189","H,,S"
"CO000080222","1941-04-28","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  168","H,,S"
"CO000080222","1941-04-29","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  181","H,,S"
"CO000080222","1941-04-30","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  173","H,,S"
"CO000080222","1941-05-01","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  179","H,,S"
"CO000080222","1941-05-02","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  160","H,,S"
"CO000080222","1941-05-03","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  174","H,,S"
"CO000080222","1941-05-04","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  168","H,,S"
"CO000080222","1941-05-05","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  181","H,,S"
"CO000080222","1941-05-06","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  182","H,,S"
"CO000080222","1941-05-07","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  185","H,,S"
"CO000080222","1941-05-08","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  185","H,,S"
"CO000080222","1941-05-09","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  178","H,,S"
"CO000080222","1941-05-10","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  188","H,,S"
"CO000080222","1941-05-11","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  165","H,,S"
"CO000080222","1941-05-12","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  169","H,,S"
"CO000080222","1941-05-13","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  166","H,,S"
"CO000080222","1941-05-14","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  157","H,,S"
"CO000080222","1941-05-15","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  190","H,,S"
"CO000080222","1941-05-16","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  183","H,,S"
"CO000080222","1941-05-17","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  182","H,,S"
"CO000080222","1941-05-18","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  173","H,,S"
"CO000080222","1941-05-19","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  161","H,,S"
"CO000080222","1941-05-20","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  179","H,,S"
"CO000080222","1941-05-21","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  175","H,,S"
"CO000080222","1941-05-22","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  169","H,,S"
"CO000080222","1941-05-23","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  192","H,,S"
"CO000080222","1941-05-24","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  178","H,,S"
"CO000080222","1941-05-25","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  179","H,,S"
"CO000080222","1941-05-26","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  161","H,,S"
"CO000080222","1941-05-27","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  168","H,,S"
"CO000080222","1941-05-28","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  171","H,,S"
"CO000080222","1941-05-29","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  186","H,,S"
"CO000080222","1941-05-30","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  179","H,,S"
"CO000080222","1941-05-31","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  184","H,,S"
"CO000080222","1941-06-01","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  178","H,,S"
"CO000080222","1941-06-02","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  173","H,,S"
"CO000080222","1941-06-03","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  183","H,,S"
"CO000080222","1941-06-04","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  179","H,,S"
"CO000080222","1941-06-06","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  185","H,,S"
"CO000080222","1941-06-09","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  169","H,,S"
"CO000080222","1941-06-10","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  152","H,,S"
"CO000080222","1941-06-11","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  158","H,,S"
"CO000080222","1941-06-12","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  148","H,,S"
"CO000080222","1941-06-13","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  161","H,,S"
"CO000080222","1941-06-14","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  173","H,,S"
"CO000080222","1941-06-15","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  162","H,,S"
"CO000080222","1941-06-16","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  163","H,,S"
"CO000080222","1941-06-17","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  167","H,,S"
"CO000080222","1941-06-18","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  165","H,,S"
"CO000080222","1941-06-19","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  172","H,,S"
"CO000080222","1941-06-20","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  175","H,,S"
"CO000080222","1941-06-21","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  148","H,,S"
"CO000080222","1941-06-22","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  161","H,,S"
"CO000080222","1941-06-23","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  168","H,,S"
"CO000080222","1941-06-24","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  142","H,,S"
"CO000080222","1941-06-25","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  158","H,,S"
"CO000080222","1941-06-26","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  160","H,,S"
"CO000080222","1941-06-27","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  164","H,,S"
"CO000080222","1941-06-28","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  144","H,,S"
"CO000080222","1941-06-29","4.701","-74.15","2548.0","BOGOTA ELDORADO, CO",,,,,,,,,"  161","H,,S"
