"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"GLE00147481","1941-11-21","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"   -5","H,,S"
"GLE00147481","1941-11-22","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -69","H,,S"
"GLE00147481","1941-11-23","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -99","H,,S"
"GLE00147481","1941-11-24","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -64","H,,S"
"GLE00147481","1941-11-25","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -130","H,,S"
"GLE00147481","1941-11-26","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -113","H,,S"
"GLE00147481","1941-11-27","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -57","H,,S"
"GLE00147481","1941-11-28","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -99","H,,S"
"GLE00147481","1941-11-29","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -56","H,,S"
"GLE00147481","1941-11-30","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -70","H,,S"
"GLE00147481","1941-12-01","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -24","H,,S"
"GLE00147481","1941-12-02","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"    1","H,,S"
"GLE00147481","1941-12-03","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"   -8","H,,S"
"GLE00147481","1941-12-04","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -63","H,,S"
"GLE00147481","1941-12-05","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -120","H,,S"
"GLE00147481","1941-12-06","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -100","H,,S"
"GLE00147481","1941-12-07","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -127","H,,S"
"GLE00147481","1941-12-08","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -133","H,,S"
"GLE00147481","1941-12-09","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -102","H,,S"
"GLE00147481","1941-12-10","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -64","H,,S"
"GLE00147481","1941-12-11","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -58","H,,S"
"GLE00147481","1941-12-12","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -79","H,,S"
"GLE00147481","1941-12-13","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -79","H,,S"
"GLE00147481","1941-12-14","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -56","H,,S"
"GLE00147481","1941-12-15","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -59","H,,S"
"GLE00147481","1941-12-16","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -130","H,,S"
"GLE00147481","1941-12-17","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -87","H,,S"
"GLE00147481","1941-12-18","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -124","H,,S"
"GLE00147481","1941-12-19","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -174","H,,S"
"GLE00147481","1941-12-20","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -181","H,,S"
"GLE00147481","1941-12-21","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -201","H,,S"
"GLE00147481","1941-12-22","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -157","H,,S"
"GLE00147481","1941-12-23","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -142","H,,S"
"GLE00147481","1941-12-24","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -159","H,,S"
"GLE00147481","1941-12-25","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -148","H,,S"
"GLE00147481","1941-12-26","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -152","H,,S"
"GLE00147481","1941-12-27","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -97","H,,S"
"GLE00147481","1941-12-28","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -118","H,,S"
"GLE00147481","1941-12-29","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -129","H,,S"
"GLE00147481","1941-12-30","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -134","H,,S"
"GLE00147481","1941-12-31","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -134","H,,S"
"GLE00147481","1942-01-01","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -171","H,,S"
"GLE00147481","1942-01-02","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -150","H,,S"
"GLE00147481","1942-01-03","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -121","H,,S"
"GLE00147481","1942-01-04","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -129","H,,S"
"GLE00147481","1942-01-05","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -80","H,,S"
"GLE00147481","1942-01-06","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -114","H,,S"
"GLE00147481","1942-01-07","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -167","H,,S"
"GLE00147481","1942-01-08","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -150","H,,S"
"GLE00147481","1942-01-09","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -121","H,,S"
"GLE00147481","1942-01-10","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -44","H,,S"
"GLE00147481","1942-01-11","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -45","H,,S"
"GLE00147481","1942-01-12","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -97","H,,S"
"GLE00147481","1942-01-13","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -37","H,,S"
"GLE00147481","1942-01-14","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -42","H,,S"
"GLE00147481","1942-01-15","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -38","H,,S"
"GLE00147481","1942-01-16","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"   16","H,,S"
"GLE00147481","1942-01-17","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -22","H,,S"
"GLE00147481","1942-01-18","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -29","H,,S"
"GLE00147481","1942-01-19","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"    4","H,,S"
"GLE00147481","1942-01-20","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -31","H,,S"
"GLE00147481","1942-01-21","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -59","H,,S"
"GLE00147481","1942-01-22","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -63","H,,S"
"GLE00147481","1942-01-23","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -13","H,,S"
"GLE00147481","1942-01-24","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -26","H,,S"
"GLE00147481","1942-01-25","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -38","H,,S"
"GLE00147481","1942-01-26","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -27","H,,S"
"GLE00147481","1942-01-27","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -44","H,,S"
"GLE00147481","1942-01-28","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -89","H,,S"
"GLE00147481","1942-01-29","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -192","H,,S"
"GLE00147481","1942-01-30","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -202","H,,S"
"GLE00147481","1942-01-31","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -159","H,,S"
"GLE00147481","1942-02-01","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -127","H,,S"
"GLE00147481","1942-02-02","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -182","H,,S"
"GLE00147481","1942-02-03","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -181","H,,S"
"GLE00147481","1942-02-04","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -178","H,,S"
"GLE00147481","1942-02-05","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -121","H,,S"
"GLE00147481","1942-02-06","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -111","H,,S"
"GLE00147481","1942-02-07","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -130","H,,S"
"GLE00147481","1942-02-08","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -196","H,,S"
"GLE00147481","1942-02-09","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -203","H,,S"
"GLE00147481","1942-02-10","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -192","H,,S"
"GLE00147481","1942-02-11","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -166","H,,S"
"GLE00147481","1942-02-12","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -208","H,,S"
"GLE00147481","1942-02-13","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -191","H,,S"
"GLE00147481","1942-02-14","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -182","H,,S"
"GLE00147481","1942-02-15","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -194","H,,S"
"GLE00147481","1942-02-16","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -163","H,,S"
"GLE00147481","1942-02-17","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -133","H,,S"
"GLE00147481","1942-02-18","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -53","H,,S"
"GLE00147481","1942-02-19","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,,"  -76","H,,S"
"GLE00147481","1942-02-20","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -117","H,,S"
"GLE00147481","1942-02-21","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -178","H,,S"
"GLE00147481","1942-02-22","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -201","H,,S"
"GLE00147481","1942-02-23","70.4831","-21.95","70.0","ITTOQQORTOORMIIT, GL",,,,,,,,," -229","H,,S"
