"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"GMM00010348","1936-01-02","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -22",",,S","   71","H,,S"
"GMM00010348","1936-01-03","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -22",",,S","   56","H,,S"
"GMM00010348","1936-01-04","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,,,"   43","H,,S"
"GMM00010348","1936-01-06","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -22",",,S","   28","H,,S"
"GMM00010348","1936-01-07","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   11",",,S","   43","H,,S"
"GMM00010348","1936-01-08","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   11",",,S","   56","H,,S"
"GMM00010348","1936-01-09","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   39",",,S","   63","H,,S"
"GMM00010348","1936-01-13","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,,,"   11","H,,S"
"GMM00010348","1936-01-14","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"    0",",,S","   16","H,,S"
"GMM00010348","1936-01-15","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"    0",",,S","   15","H,,S"
"GMM00010348","1936-01-16","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -28",",,S","    2","H,,S"
"GMM00010348","1936-01-17","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -28",",,S","   28","H,,S"
"GMM00010348","1936-01-18","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -11",",,S","   11","H,,S"
"GMM00010348","1936-01-20","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -11",",,S","   31","H,,S"
"GMM00010348","1936-01-21","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   50",",,S","   68","H,,S"
"GMM00010348","1936-01-22","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   22",",,S","   31","H,,S"
"GMM00010348","1936-01-23","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -22",",,S","   16","H,,S"
"GMM00010348","1936-01-24","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   11",",,S","   30","H,,S"
"GMM00010348","1936-01-25","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"  -11",",,S","    8","H,,S"
"GMM00010348","1936-01-27","52.319","10.556","89.9","BRAUNSCHWEIG WOLFSBURG, GM",,,,,,,"   50",",,S","   61","H,,S"
