"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"PLM00012160","1936-01-03","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   53","H,,S"
"PLM00012160","1936-01-04","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   39","H,,S"
"PLM00012160","1936-01-06","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    6","H,,S"
"PLM00012160","1936-01-07","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   28","H,,S"
"PLM00012160","1936-01-08","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   21","H,,S"
"PLM00012160","1936-01-10","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   50","H,,S"
"PLM00012160","1936-01-11","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   69","H,,S"
"PLM00012160","1936-01-13","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   14","H,,S"
"PLM00012160","1936-01-14","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  -22","H,,S"
"PLM00012160","1936-01-15","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    0","H,,S"
"PLM00012160","1936-01-17","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  -18","H,,S"
"PLM00012160","1936-01-18","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   11","H,,S"
"PLM00012160","1936-01-20","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    6","H,,S"
"PLM00012160","1936-01-21","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   22","H,,S"
"PLM00012160","1936-01-22","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   28","H,,S"
"PLM00012160","1936-01-24","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   17","H,,S"
"PLM00012160","1936-01-27","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   21","H,,S"
"PLM00012160","1936-01-28","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   27","H,,S"
"PLM00012160","1936-01-29","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   17","H,,S"
"PLM00012160","1936-01-30","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   -3","H,,S"
"PLM00012160","1936-01-31","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    0","H,,S"
"PLM00012160","1936-02-01","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   32","H,,S"
"PLM00012160","1936-02-04","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   27","H,,S"
"PLM00012160","1936-02-06","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   11","H,,S"
"PLM00012160","1936-02-07","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  -17","H,,S"
"PLM00012160","1936-02-08","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    0","H,,S"
"PLM00012160","1936-02-10","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  -92","H,,S"
"PLM00012160","1936-02-12","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    6","H,,S"
"PLM00012160","1936-02-14","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  -31","H,,S"
"PLM00012160","1936-02-15","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  -28","H,,S"
"PLM00012160","1936-02-20","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,," -115","H,,S"
"PLM00012160","1936-02-21","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,," -149","H,,S"
"PLM00012160","1936-02-22","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,," -106","H,,S"
"PLM00012160","1936-02-24","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   -3","H,,S"
"PLM00012160","1936-02-26","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   11","H,,S"
"PLM00012160","1936-02-27","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"    0","H,,S"
"PLM00012160","1936-02-28","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   15","H,,S"
"PLM00012160","1936-02-29","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   33","H,,S"
"PLM00012160","1936-03-02","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","   42","H,,S"
"PLM00012160","1936-03-03","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"    0",",,S","   22","H,,S"
"PLM00012160","1936-03-07","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   31","H,,S"
"PLM00012160","1936-03-11","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   35","H,,S"
"PLM00012160","1936-03-12","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","   17","H,,S"
"PLM00012160","1936-03-17","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -28",",,S","   29","H,,S"
"PLM00012160","1936-03-25","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -11",",,S","   57","H,,S"
"PLM00012160","1936-03-27","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"    0",",,S","   56","H,,S"
"PLM00012160","1936-03-28","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -28",",,S","   46","H,,S"
"PLM00012160","1936-04-01","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","   89","H,,S"
"PLM00012160","1936-04-07","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -11",",,S","   38","H,,S"
"PLM00012160","1936-04-08","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -50",",,S","   43","H,,S"
"PLM00012160","1936-04-09","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -22",",,S","   67","H,,S"
"PLM00012160","1936-04-14","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","   93","H,,S"
"PLM00012160","1936-04-15","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   28",",,S","   58","H,,S"
"PLM00012160","1936-04-16","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   28",",,S","  153","H,,S"
"PLM00012160","1936-04-17","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  175","H,,S"
"PLM00012160","1936-04-18","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  107","H,,S"
"PLM00012160","1936-04-20","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"  -11",",,S","   69","H,,S"
"PLM00012160","1936-04-21","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","  106","H,,S"
"PLM00012160","1936-04-22","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"    0",",,S","   68","H,,S"
"PLM00012160","1936-04-23","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","  153","H,,S"
"PLM00012160","1936-04-24","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   44","H,,S"
"PLM00012160","1936-04-27","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   11",",,S","  136","H,,S"
"PLM00012160","1936-04-28","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  140","H,,S"
"PLM00012160","1936-04-29","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   39",",,S","  104","H,,S"
"PLM00012160","1936-05-01","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   22",",,S","  128","H,,S"
"PLM00012160","1936-05-02","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   78",",,S","  106","H,,S"
"PLM00012160","1936-05-04","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  175","H,,S"
"PLM00012160","1936-05-05","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  179","H,,S"
"PLM00012160","1936-05-06","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  153","H,,S"
"PLM00012160","1936-05-07","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  165","H,,S"
"PLM00012160","1936-05-08","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  182","H,,S"
"PLM00012160","1936-05-09","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  177","H,,S"
"PLM00012160","1936-05-11","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  190","H,,S"
"PLM00012160","1936-05-12","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   92","H,,S"
"PLM00012160","1936-05-13","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  143","H,,S"
"PLM00012160","1936-05-14","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,"   89",",,S","  140","H,,S"
"PLM00012160","1936-05-15","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  112","H,,S"
"PLM00012160","1936-05-19","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  190","H,,S"
"PLM00012160","1936-05-20","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  133","H,,S"
"PLM00012160","1936-05-21","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  163","H,,S"
"PLM00012160","1936-05-22","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  198","H,,S"
"PLM00012160","1936-05-23","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  235","H,,S"
"PLM00012160","1936-05-25","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  235","H,,S"
"PLM00012160","1936-05-26","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  253","H,,S"
"PLM00012160","1936-05-27","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  233","H,,S"
"PLM00012160","1936-05-28","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  153","H,,S"
"PLM00012160","1936-05-29","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  132","H,,S"
"PLM00012160","1936-06-01","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"  111","H,,S"
"PLM00012160","1936-06-02","54.167","19.433","43.0","ELBLAG MILEJEWO, PL",,,,,,,,,"   78","H,,S"
