"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"RS000034561","1937-01-01","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -122",",,S","  -68","H,,S"
"RS000034561","1937-01-02","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -11",",,S","  -61",",,S","  -21","H,,S"
"RS000034561","1937-01-03","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -22",",,S","  -78",",,S","  -57","H,,S"
"RS000034561","1937-01-04","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,"  -89",",,S","  -40","H,,S"
"RS000034561","1937-01-05","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -11",",,S","  -39",",,S","  -28","H,,S"
"RS000034561","1937-01-06","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -22",",,S","  -61",",,S","  -42","H,,S"
"RS000034561","1937-01-07","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -39",",,S","  -89",",,S","  -64","H,,S"
"RS000034561","1937-01-08","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -22",",,S",,,"  -39","H,,S"
"RS000034561","1937-01-09","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -50",",,S",,,"  -65","H,,S"
"RS000034561","1937-01-10","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -100",",,S","  -82","H,,S"
"RS000034561","1937-01-11","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,,," -108","H,,S"
"RS000034561","1937-01-12","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -78",",,S"," -128",",,S"," -106","H,,S"
"RS000034561","1937-01-13","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -89",",,S",,," -121","H,,S"
"RS000034561","1937-01-14","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -122",",,S"," -172",",,S"," -147","H,,S"
"RS000034561","1937-01-15","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -122",",,S",,," -140","H,,S"
"RS000034561","1937-01-16","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -78",",,S"," -172",",,S"," -107","H,,S"
"RS000034561","1937-01-17","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -139",",,S",,," -165","H,,S"
"RS000034561","1937-01-18","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -161",",,S",,," -193","H,,S"
"RS000034561","1937-01-19","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -128",",,S"," -222",",,S"," -173","H,,S"
"RS000034561","1937-01-20","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -122",",,S"," -172",",,S"," -158","H,,S"
"RS000034561","1937-01-21","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -150",",,S"," -200",",,S"," -179","H,,S"
"RS000034561","1937-01-22","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -89",",,S"," -222",",,S"," -140","H,,S"
"RS000034561","1937-01-23","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -139",",,S",,," -172","H,,S"
"RS000034561","1937-01-24","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -200",",,S"," -178","H,,S"
"RS000034561","1937-01-25","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -139",",,S"," -200",",,S"," -164","H,,S"
"RS000034561","1937-01-26","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -139",",,S"," -200",",,S"," -181","H,,S"
"RS000034561","1937-01-27","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -122",",,S"," -222",",,S"," -175","H,,S"
"RS000034561","1937-01-29","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -139",",,S",,," -163","H,,S"
"RS000034561","1937-01-30","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -178",",,S"," -200",",,S"," -186","H,,S"
"RS000034561","1937-01-31","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -200",",,S",,," -218","H,,S"
"RS000034561","1937-02-01","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -172",",,S"," -261",",,S"," -228","H,,S"
"RS000034561","1937-02-02","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -150",",,S"," -239",",,S"," -207","H,,S"
"RS000034561","1937-02-03","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -139",",,S",,," -221","H,,S"
"RS000034561","1937-02-04","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -289",",,S"," -193","H,,S"
"RS000034561","1937-02-05","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -61",",,S"," -178",",,S","  -93","H,,S"
"RS000034561","1937-02-06","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   11",",,S","  -61",",,S","   -2","H,,S"
"RS000034561","1937-02-07","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   50",",,S","    0",",,S","   29","H,,S"
"RS000034561","1937-02-08","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,,,"   11","H,,S"
"RS000034561","1937-02-10","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -72",",,S"," -128",",,S","  -93","H,,S"
"RS000034561","1937-02-11","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,"  -89",",,S","  -58","H,,S"
"RS000034561","1937-02-12","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -11",",,S",,,"  -56","H,,S"
"RS000034561","1937-02-13","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -28",",,S"," -100",",,S","  -44","H,,S"
"RS000034561","1937-02-14","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,,,"  -67","H,,S"
"RS000034561","1937-02-15","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -28",",,S","  -89",",,S","  -39","H,,S"
"RS000034561","1937-02-16","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,"  -50",",,S","  -31","H,,S"
"RS000034561","1937-02-17","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"    0",",,S",,,"  -40","H,,S"
"RS000034561","1937-02-18","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -50",",,S",,,"  -81","H,,S"
"RS000034561","1937-02-19","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -78",",,S",,," -115","H,,S"
"RS000034561","1937-02-20","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -72",",,S"," -161",",,S","  -96","H,,S"
"RS000034561","1937-02-21","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -78",",,S",,,"  -92","H,,S"
"RS000034561","1937-02-22","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -111",",,S"," -161",",,S"," -131","H,,S"
"RS000034561","1937-02-23","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   22",",,S"," -122",",,S","  -56","H,,S"
"RS000034561","1937-02-24","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -28",",,S",,,"  -60","H,,S"
"RS000034561","1937-02-25","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -122",",,S","  -67","H,,S"
"RS000034561","1937-02-26","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"    0",",,S","  -50",",,S","  -32","H,,S"
"RS000034561","1937-02-27","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -50",",,S",,,"  -72","H,,S"
"RS000034561","1937-03-01","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"  -89",",,S",,," -128","H,,S"
"RS000034561","1937-03-02","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -128",",,S"," -200",",,S"," -172","H,,S"
"RS000034561","1937-03-03","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -128",",,S",,," -203","H,,S"
"RS000034561","1937-03-04","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -228",",,S"," -196","H,,S"
"RS000034561","1937-03-05","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -122",",,S"," -239",",,S"," -179","H,,S"
"RS000034561","1937-03-06","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,," -100",",,S"," -189",",,S"," -139","H,,S"
"RS000034561","1937-03-07","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,," -161",",,S","  -68","H,,S"
"RS000034561","1937-03-08","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   11",",,S",,,"  -22","H,,S"
"RS000034561","1937-03-09","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   22",",,S",,,"    8","H,,S"
"RS000034561","1937-03-11","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,,,"  -11",",,S","    0","H,,S"
"RS000034561","1937-03-12","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   61",",,S","    0",",,S","   15","H,,S"
"RS000034561","1937-03-13","48.67","44.45","28.0","VOLSHSKIY GMO, RS",,,,,"   22",",,S","   11",",,S","   14","H,,S"
