"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"RSM00022907","1881-01-01","60.08","26.97","6.0","GOGLAND, RS","   16",",,r",,,,,"   -2",",,r"
"RSM00022907","1881-01-02","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"   -4",",,r"
"RSM00022907","1881-01-03","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"    7",",,r"
"RSM00022907","1881-01-04","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"   10",",,r"
"RSM00022907","1881-01-05","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -35",",,r"
"RSM00022907","1881-01-06","60.08","26.97","6.0","GOGLAND, RS","    9",",,r",,,,,"  -31",",,r"
"RSM00022907","1881-01-07","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -26",",,r"
"RSM00022907","1881-01-08","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -95",",,r"
"RSM00022907","1881-01-09","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -62",",,r"
"RSM00022907","1881-01-10","60.08","26.97","6.0","GOGLAND, RS","   46",",,r",,,,," -118",",,r"
"RSM00022907","1881-01-11","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -175",",,r"
"RSM00022907","1881-01-12","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -170",",,r"
"RSM00022907","1881-01-13","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -139",",,r"
"RSM00022907","1881-01-14","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -171",",,r"
"RSM00022907","1881-01-15","60.08","26.97","6.0","GOGLAND, RS","   20",",,r",,,,," -169",",,r"
"RSM00022907","1881-01-16","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -147",",,r"
"RSM00022907","1881-01-17","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -180",",,r"
"RSM00022907","1881-01-18","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -199",",,r"
"RSM00022907","1881-01-19","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -191",",,r"
"RSM00022907","1881-01-20","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -196",",,r"
"RSM00022907","1881-01-21","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -148",",,r"
"RSM00022907","1881-01-22","60.08","26.97","6.0","GOGLAND, RS","    8",",,r",,,,," -132",",,r"
"RSM00022907","1881-01-23","60.08","26.97","6.0","GOGLAND, RS","    2",",,r",,,,," -140",",,r"
"RSM00022907","1881-01-24","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -105",",,r"
"RSM00022907","1881-01-25","60.08","26.97","6.0","GOGLAND, RS","    3",",,r",,,,,"  -48",",,r"
"RSM00022907","1881-01-26","60.08","26.97","6.0","GOGLAND, RS","   24",",,r",,,,,"  -20",",,r"
"RSM00022907","1881-01-27","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -74",",,r"
"RSM00022907","1881-01-28","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -84",",,r"
"RSM00022907","1881-01-29","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,," -107",",,r"
"RSM00022907","1881-01-30","60.08","26.97","6.0","GOGLAND, RS","   22",",,r",,,,,"  -55",",,r"
"RSM00022907","1881-01-31","60.08","26.97","6.0","GOGLAND, RS","    7",",,r",,,,,"  -32",",,r"
"RSM00022907","1881-02-01","60.08","26.97","6.0","GOGLAND, RS","   28",",,r",,,,,"   -9",",,r"
"RSM00022907","1881-02-02","60.08","26.97","6.0","GOGLAND, RS","   38",",,r",,,,,"   -5",",,r"
"RSM00022907","1881-02-03","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -104",",,r"
"RSM00022907","1881-02-04","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -223",",,r"
"RSM00022907","1881-02-05","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -156",",,r"
"RSM00022907","1881-02-06","60.08","26.97","6.0","GOGLAND, RS","    8",",,r",,,,,"  -61",",,r"
"RSM00022907","1881-02-07","60.08","26.97","6.0","GOGLAND, RS","    2",",,r",,,,," -130",",,r"
"RSM00022907","1881-02-08","60.08","26.97","6.0","GOGLAND, RS","    3",",,r",,,,," -173",",,r"
"RSM00022907","1881-02-09","60.08","26.97","6.0","GOGLAND, RS","   66",",,r",,,,," -100",",,r"
"RSM00022907","1881-02-10","60.08","26.97","6.0","GOGLAND, RS","    6",",,r",,,,,"  -56",",,r"
"RSM00022907","1881-02-11","60.08","26.97","6.0","GOGLAND, RS","   24",",,r",,,,,"   -6",",,r"
"RSM00022907","1881-02-12","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -35",",,r"
"RSM00022907","1881-02-13","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -126",",,r"
"RSM00022907","1881-02-14","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -110",",,r"
"RSM00022907","1881-02-15","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,,"  -81",",,r"
"RSM00022907","1881-02-16","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -24",",,r"
"RSM00022907","1881-02-17","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -26",",,r"
"RSM00022907","1881-02-18","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"   98",",,r"
"RSM00022907","1881-02-19","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  177",",,r"
"RSM00022907","1881-02-20","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,," -107",",,r"
"RSM00022907","1881-02-21","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -198",",,r"
"RSM00022907","1881-02-22","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -195",",,r"
"RSM00022907","1881-02-23","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -192",",,r"
"RSM00022907","1881-02-24","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -175",",,r"
"RSM00022907","1881-02-25","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -90",",,r"
"RSM00022907","1881-02-26","60.08","26.97","6.0","GOGLAND, RS","   12",",,r",,,,,"  -88",",,r"
"RSM00022907","1881-02-27","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,," -171",",,r"
"RSM00022907","1881-02-28","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -166",",,r"
"RSM00022907","1881-03-01","60.08","26.97","6.0","GOGLAND, RS","   16",",,r",,,,," -106",",,r"
"RSM00022907","1881-03-02","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -88",",,r"
"RSM00022907","1881-03-03","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -150",",,r"
"RSM00022907","1881-03-04","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,," -100",",,r"
"RSM00022907","1881-03-05","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -106",",,r"
"RSM00022907","1881-03-06","60.08","26.97","6.0","GOGLAND, RS","    8",",,r",,,,," -114",",,r"
"RSM00022907","1881-03-07","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -143",",,r"
"RSM00022907","1881-03-08","60.08","26.97","6.0","GOGLAND, RS","   34",",,r",,,,," -152",",,r"
"RSM00022907","1881-03-09","60.08","26.97","6.0","GOGLAND, RS","    2",",,r",,,,,"  -50",",,r"
"RSM00022907","1881-03-10","60.08","26.97","6.0","GOGLAND, RS","    4",",,r",,,,,"  -68",",,r"
"RSM00022907","1881-03-11","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -84",",,r"
"RSM00022907","1881-03-12","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -85",",,r"
"RSM00022907","1881-03-13","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -85",",,r"
"RSM00022907","1881-03-14","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -121",",,r"
"RSM00022907","1881-03-15","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -96",",,r"
"RSM00022907","1881-03-16","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -73",",,r"
"RSM00022907","1881-03-17","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -45",",,r"
"RSM00022907","1881-03-18","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -32",",,r"
"RSM00022907","1881-03-19","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -12",",,r"
"RSM00022907","1881-03-20","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -130",",,r"
"RSM00022907","1881-03-21","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,,"  -93",",,r"
"RSM00022907","1881-03-22","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -135",",,r"
"RSM00022907","1881-03-23","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -94",",,r"
"RSM00022907","1881-03-24","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -75",",,r"
"RSM00022907","1881-03-25","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,,"    9",",,r"
"RSM00022907","1881-03-26","60.08","26.97","6.0","GOGLAND, RS","   18",",,r",,,,,"    2",",,r"
"RSM00022907","1881-03-27","60.08","26.97","6.0","GOGLAND, RS","    8",",,r",,,,,"  -74",",,r"
"RSM00022907","1881-03-28","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -34",",,r"
"RSM00022907","1881-03-29","60.08","26.97","6.0","GOGLAND, RS","    5",",,r",,,,,"    2",",,r"
"RSM00022907","1881-03-30","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -17",",,r"
"RSM00022907","1881-03-31","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -69",",,r"
"RSM00022907","1881-04-01","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -54",",,r"
"RSM00022907","1881-04-02","60.08","26.97","6.0","GOGLAND, RS","    1",",,r",,,,,"  -65",",,r"
"RSM00022907","1881-04-03","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -110",",,r"
"RSM00022907","1881-04-04","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,," -104",",,r"
"RSM00022907","1881-04-05","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -35",",,r"
"RSM00022907","1881-04-06","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -26",",,r"
"RSM00022907","1881-04-07","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -83",",,r"
"RSM00022907","1881-04-08","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -84",",,r"
"RSM00022907","1881-04-09","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -45",",,r"
"RSM00022907","1881-04-10","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -28",",,r"
"RSM00022907","1881-04-11","60.08","26.97","6.0","GOGLAND, RS","    0",",,r",,,,,"  -27",",,r"
