"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"RSM00024661","1938-01-01","64.0","130.3","208.0","SEGEN KYUEL, RS","    7",",,r",,," -266",",,r"," -349",",,r",,," -305",",,r"
"RSM00024661","1938-01-02","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -296",",,r"," -349",",,r",,," -340",",,r"
"RSM00024661","1938-01-03","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -322",",,r"," -372",",,r",,," -340",",,r"
"RSM00024661","1938-01-04","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -335",",,r"," -385",",,r",,," -362",",,r"
"RSM00024661","1938-01-05","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -336",",,r"," -390",",,r",,," -370",",,r"
"RSM00024661","1938-01-06","64.0","130.3","208.0","SEGEN KYUEL, RS","    0","T,,r",,," -367",",,r"," -436",",,r",,," -398",",,r"
"RSM00024661","1938-01-07","64.0","130.3","208.0","SEGEN KYUEL, RS","    5",",,r",,," -346",",,r"," -387",",,r",,," -354",",,r"
"RSM00024661","1938-01-08","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -330",",,r"," -370",",,r",,," -342",",,r"
"RSM00024661","1938-01-09","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -341",",,r"," -381",",,r",,," -358",",,r"
"RSM00024661","1938-01-10","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -351",",,r"," -462",",,r",,," -427",",,r"
"RSM00024661","1938-01-11","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -387",",,r"," -472",",,r",,," -426",",,r"
"RSM00024661","1938-01-12","64.0","130.3","208.0","SEGEN KYUEL, RS","    3",",,r",,," -326",",,r"," -387",",,r",,," -352",",,r"
"RSM00024661","1938-01-13","64.0","130.3","208.0","SEGEN KYUEL, RS","    0",",,r",,," -323",",,r"," -372",",,r",,," -337",",,r"
