"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UKM00003100","1937-03-01","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   17",",,S","   49","H,,S"
"UKM00003100","1937-03-02","56.499","-6.869","11.6","TIREE, UK",,,,,"   61",",,S","   33",",,S","   53","H,,S"
"UKM00003100","1937-03-03","56.499","-6.869","11.6","TIREE, UK",,,,,,,,,"   50","H,,S"
"UKM00003100","1937-03-04","56.499","-6.869","11.6","TIREE, UK",,,,,"   78",",,S","    6",",,S","   47","H,,S"
"UKM00003100","1937-03-06","56.499","-6.869","11.6","TIREE, UK",,,,,"   61",",,S","   11",",,S","   23","H,,S"
"UKM00003100","1937-03-07","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   -6",",,S","   23","H,,S"
"UKM00003100","1937-03-08","56.499","-6.869","11.6","TIREE, UK",,,,,"   44",",,S","  -39",",,S","   11","H,,S"
"UKM00003100","1937-03-09","56.499","-6.869","11.6","TIREE, UK",,,,,"   61",",,S","  -28",",,S","   16","H,,S"
"UKM00003100","1937-03-10","56.499","-6.869","11.6","TIREE, UK",,,,,"   67",",,S","  -22",",,S","   22","H,,S"
"UKM00003100","1937-03-11","56.499","-6.869","11.6","TIREE, UK",,,,,"   50",",,S","    0",",,S","   22","H,,S"
"UKM00003100","1937-03-12","56.499","-6.869","11.6","TIREE, UK",,,,,"   44",",,S","    0",",,S","   11","H,,S"
"UKM00003100","1937-03-13","56.499","-6.869","11.6","TIREE, UK",,,,,,,"    0",",,S","   26","H,,S"
"UKM00003100","1937-03-14","56.499","-6.869","11.6","TIREE, UK",,,,,"   44",",,S","   11",",,S","   29","H,,S"
"UKM00003100","1937-03-15","56.499","-6.869","11.6","TIREE, UK",,,,,,,"    6",",,S","   47","H,,S"
"UKM00003100","1937-03-16","56.499","-6.869","11.6","TIREE, UK",,,,,"   72",",,S","  -11",",,S","   39","H,,S"
"UKM00003100","1937-03-17","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   22",",,S","   68","H,,S"
"UKM00003100","1937-03-18","56.499","-6.869","11.6","TIREE, UK",,,,,"   78",",,S","   39",",,S","   53","H,,S"
