"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00034712","1936-01-01","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-03","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-04","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-05","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-06","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-07","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-08","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-09","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-10","47.1","37.6","8.0","MARIUPOL, UP","   65",",,I",,,,,,,,
"UPM00034712","1936-01-11","47.1","37.6","8.0","MARIUPOL, UP","   60",",,I",,,,,,,,
"UPM00034712","1936-01-12","47.1","37.6","8.0","MARIUPOL, UP","  130",",,I",,,,,,,,
"UPM00034712","1936-01-13","47.1","37.6","8.0","MARIUPOL, UP","   29",",,I",,,,,,,,
"UPM00034712","1936-01-14","47.1","37.6","8.0","MARIUPOL, UP","    0","T,,I",,,,,,,,
"UPM00034712","1936-01-15","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-16","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-17","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-18","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-19","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
"UPM00034712","1936-01-20","47.1","37.6","8.0","MARIUPOL, UP","    1",",,I",,,,,,,,
"UPM00034712","1936-01-21","47.1","37.6","8.0","MARIUPOL, UP","    9",",,I",,,,,,,,
"UPM00034712","1936-01-22","47.1","37.6","8.0","MARIUPOL, UP","    8",",,I",,,,,,,,
"UPM00034712","1936-01-23","47.1","37.6","8.0","MARIUPOL, UP","    5",",,I",,,,,,,,
"UPM00034712","1936-01-24","47.1","37.6","8.0","MARIUPOL, UP","   18",",,I",,,,,,,,
"UPM00034712","1936-01-25","47.1","37.6","8.0","MARIUPOL, UP","    0",",,I",,,,,,,,
