"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UZM00038927","1936-01-01","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   10",",,r","  -18",",,r","   -2",",,r"
"UZM00038927","1936-01-02","37.2294","67.2694","309.0","TERMEZ, UZ","    5",",,r",,,"   16",",,r","  -17",",,r","  -11",",,r"
"UZM00038927","1936-01-03","37.2294","67.2694","309.0","TERMEZ, UZ","    7",",,r",,,"   27",",,r","  -33",",,r","  -12",",,r"
"UZM00038927","1936-01-04","37.2294","67.2694","309.0","TERMEZ, UZ","    0","T,,r",,,"   40",",,r","  -71",",,r","  -26",",,r"
"UZM00038927","1936-01-05","37.2294","67.2694","309.0","TERMEZ, UZ","    2",",,r",,,"   35",",,r","  -66",",,r","  -32",",,r"
"UZM00038927","1936-01-06","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"  -27",",,r","  -65",",,r","  -46",",,r"
"UZM00038927","1936-01-07","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   21",",,r","  -52",",,r","  -26",",,r"
"UZM00038927","1936-01-08","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   43",",,r","  -90",",,r","  -42",",,r"
"UZM00038927","1936-01-09","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   68",",,r","  -83",",,r","  -28",",,r"
"UZM00038927","1936-01-10","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   78",",,r","  -86",",,r","  -19",",,r"
"UZM00038927","1936-01-11","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   59",",,r","  -70",",,r","  -14",",,r"
"UZM00038927","1936-01-12","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"   77",",,r","  -54",",,r","   -3",",,r"
"UZM00038927","1936-01-13","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"  105",",,r","  -65",",,r","    6",",,r"
"UZM00038927","1936-01-14","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"  105",",,r","  -35",",,r","   21",",,r"
"UZM00038927","1936-01-15","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"  137",",,r","  -32",",,r","   30",",,r"
"UZM00038927","1936-01-16","37.2294","67.2694","309.0","TERMEZ, UZ","    2",",,r",,,"  147",",,r","  -33",",,r","   37",",,r"
"UZM00038927","1936-01-17","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"  125",",,r","   -3",",,r","   51",",,r"
"UZM00038927","1936-01-18","37.2294","67.2694","309.0","TERMEZ, UZ","    0",",,r",,,"  141",",,r","  -28",",,r","   44",",,r"
